city,keyword,name,address,phone,website,rating,business_status,types
Anderson,office,Staples,"1501 W McGalliard Rd, Muncie, IN 47304, United States",(765) 284-8761,https://stores.staples.com/in/muncie/1501-mcgalliard-blvd?cmpid=st_ll_goo&cid=LS:RETAIL:G&utm_source=google&utm_medium=organic&utm_campaign=Google_Business_Listing,4.5,OPERATIONAL,"electronics_store, furniture_store, home_goods_store, store, point_of_interest, establishment"
Anderson,office,Family and Social Services Administration (FSSA),"3300 W Kilgore Ave, Muncie, IN 47304, United States",(800) 403-0864,http://www.in.gov/fssa/,3.7,OPERATIONAL,"point_of_interest, establishment"
Anderson,office,Internal Revenue Service (IRS) Taxpayer Assistance Center,"225 N High St, Muncie, IN 47305, United States",(844) 545-5640,https://apps.irs.gov/app/office-locator/,1.7,OPERATIONAL,"accounting, finance, local_government_office, point_of_interest, establishment"
Anderson,office,Thomas Business Center Inc.,"333 N Franklin St, Muncie, IN 47305, United States",(765) 284-6329,https://www.thomasbusinesscenter.com/,4.3,OPERATIONAL,"store, point_of_interest, establishment"
Anderson,office,Indiana Department of Revenue Muncie Office,"3640 N Briarwood Ln Ste. 5, Muncie, IN 47304, United States",(317) 232-2240,https://www.in.gov/dor/,4.3,OPERATIONAL,"accounting, finance, local_government_office, point_of_interest, establishment"
Anderson,office,Muncie BMV Branch,"2904 E McGalliard Rd, Muncie, IN 47303, United States",(888) 692-6841,https://www.in.gov/bmv/,4.5,OPERATIONAL,"local_government_office, point_of_interest, establishment"
Anderson,office,City of Muncie,"300 N High St, Muncie, IN 47305, United States",(765) 747-4845,http://www.cityofmuncie.com/,2.8,OPERATIONAL,"local_government_office, point_of_interest, establishment"
Anderson,office,United States Postal Service,"501 W Memorial Dr, Muncie, IN 47302, United States",(800) 275-8777,https://tools.usps.com/locations/details/1374234?utm_source=google-my-business-url&utm_medium=search&utm_campaign=yext,2.4,OPERATIONAL,"post_office, finance, local_government_office, point_of_interest, establishment"
Anderson,office,Walmart Business Center,"4801 W Clara Ln, Muncie, IN 47304, United States",(765) 284-7181,https://business.walmart.com/?veh=seo_loc,N/A,OPERATIONAL,"electronics_store, furniture_store, home_goods_store, store, point_of_interest, establishment"
Anderson,office,Weber Office Equipment,"2708 N Walnut St, Muncie, IN 47303, United States",(765) 288-5831,https://www.weberoffice.net/,5,OPERATIONAL,"finance, store, point_of_interest, establishment"
Anderson,office,FedEx Office Print & Ship Center,"248 W McGalliard Rd, Muncie, IN 47303, United States",(765) 282-4063,https://local.fedex.com/en-us/in/muncie/office-0162?cmp=LOC-1001545-3-1-971-1110000-US-US-EN-GPLCOPYANDPRINT,2.9,OPERATIONAL,"store, point_of_interest, establishment"
Anderson,office,Indiana Department of Child Services Delaware County Office,"3600 W Kilgore Ave Suite #600, Muncie, IN 47304, United States",(765) 751-9565,https://www.in.gov/dcs/3058.htm,2.7,OPERATIONAL,"point_of_interest, establishment"
Anderson,office,United States Postal Service,"125 S Franklin St, Muncie, IN 47305, United States",(800) 275-8777,https://tools.usps.com/locations/details/1436179?utm_source=google-my-business-url&utm_medium=search&utm_campaign=yext,3.4,OPERATIONAL,"post_office, finance, point_of_interest, establishment"
Anderson,office,US Post Office,"2001 W University Ave, Muncie, IN 47306, United States",(765) 285-8428,https://tools.usps.com/find-location.htm,4.5,OPERATIONAL,"post_office, finance, point_of_interest, establishment"
Anderson,office,Ball State Apartments main office,"Muncie, IN 47304, United States",(765) 285-5095,https://www.bsu.edu/campuslife/housing/university-apartments,1.8,OPERATIONAL,"point_of_interest, establishment"
Anderson,office,AAA Muncie Office,"4351 W Clara Ln, Muncie, IN 47304, United States",(765) 289-7161,https://www.hoosier.aaa.com/membership/offices/muncie?utm_source=Google+&utm_medium=directorylisting&utm_content=Muncie&utm_campaign=LPO,4.4,OPERATIONAL,"travel_agency, point_of_interest, establishment"
Anderson,office,Mayor's Office,"300 N High St, Muncie, IN 47305, United States",(765) 747-4853,https://www.muncie.in.gov/department/index.php?structureid=14,2.6,OPERATIONAL,"local_government_office, point_of_interest, establishment"
Anderson,office,Staples Print & Marketing Services,"1501 W McGalliard Rd, Muncie, IN 47304, United States",(765) 284-8761,https://stores.staples.com/in/muncie/1501-mcgalliard-blvd/print-and-marketing-services?cmpid=st_ll_goo&cid=LS:RETAIL:G&utm_source=google&utm_medium=organic&utm_campaign=Google_Business_Listing,4.9,OPERATIONAL,"store, point_of_interest, establishment"
Anderson,office,Bureau of Developmental Disabilities Services District 6,"201 E Charles St Suite 130, Muncie, IN 47305, United States",(765) 288-6516,https://www.in.gov/fssa/2328.htm,4,OPERATIONAL,"local_government_office, point_of_interest, establishment"
Anderson,office,United States Postal Service,"9301 W Smith St, Yorktown, IN 47396, United States",(800) 275-8777,https://tools.usps.com/locations/details/1388505?utm_source=google-my-business-url&utm_medium=search&utm_campaign=yext,2.9,OPERATIONAL,"post_office, finance, point_of_interest, establishment"
